host;Questel unique family ID (FAN);Priority dates;Latest standardized assignees - inventors removed
suin;957147;31/12/2002;INSTITUTE BIOTECHNOLOGII I ANTYBIOT
avian;970665;"2003-03-24
2004-03-24";INTERVET INTERNATIONAL
avian;980712;"2005-07-15
2006-07-14";BIONOSTRA
avian;980712;"2005-07-15
2006-07-14";CSIC - CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
suin;1016107;10/04/2006;INTERVET INTERNATIONAL
mult_sp;1019519;07/05/2004;NOVARTIS
avian_flu;1030310;"2003-07-11
2004-07-09
2005-10-18
2006-03-10
2006-05-15
2006-07-17
2006-07-21
2006-09-19
2006-10-18
2007-07-19
2007-09-07
2008-05-20
2008-07-21
2010-01-19
2013-03-12
2015-04-30
2016-10-24";NOVAVAX
suin;1042483;29/07/2006;HEALTHBANKS BIOTECH
avian_flu;1047256;"2005-12-06
2006-12-06
2008-06-05";YEDA RESEARCH & DEVELOPMENT
mult_sp;1047259;"2000-06-29
2001-06-27";MERIAL
suin;1053427;05/04/2002;BOEHRINGER INGELHEIM VETMEDICA
avian;1236363;"2000-06-09
2001-06-05
2001-06-08
2002-05-29";AKZO NOBEL
avian;1276501;"1998-12-19
1999-12-17";UNIVERSITY OF MARYLAND
suin;1283021;10/08/2000;BEIJING FEIKAI BIOTECH
suin;1283021;10/08/2000;TSINGHUA UNIVERSITY
suin;1335993;27/01/1998;AGRICULTURE & AGRI FOOD CANADA
suin;1335993;27/01/1998;UNIVERSITY OF GUELPH
suin;1341099;10/08/2000;BEIJING FEIKAI BIOTECH
suin;1341099;10/08/2000;TSINGHUA UNIVERSITY
avian;1360268;"1998-04-29
1999-04-22";INSTITUTE ANIMAL HEALTH
suin;1372164;08/03/1999;BOEHRINGER INGELHEIM VETMEDICA
suin;1422192;21/04/1999;BAYLOR COLLEGE OF MEDICINE
suin;1422192;21/04/1999;UNIVERSITY OF GEORGIA RESEARCH FOUNDATION
avian;1425465;"1998-07-24
1999-07-13";AVANT IMMUNOTHERAPEUTICS
avian;1440295;19/06/2000;RAHAN MERISTEM
avian;1446855;"1999-06-08
1999-11-30
2000-06-06";INNOVO BIOTECHNOLOGIES
avian;1454019;"1999-05-05
1999-12-16
2000-05-05";UNIVERSITY OF MARYLAND
avian;1454019;"1999-05-05
1999-12-16
2000-05-05";US DEPARTMENT OF HEALTH & HUMAN SERVICES
suin;1485393;24/05/2000;MERIAL
bovin;1558355;"2000-06-27
2001-06-15";ID LELYSTAD
bovin;1558355;"2000-06-27
2001-06-15";PFIZER
avian;1614247;"2000-10-02
2001-09-28
2003-08-01";BIOPORT R & D
avian;1614247;"2000-10-02
2001-09-28
2003-08-01";EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG
avian;1653300;"2001-05-02
2002-04-29";INRA - INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE
mult_sp;1682532;"2002-01-11
2003-01-13";ID LELYSTAD
mult_sp;1686689;"2001-07-20
2002-07-22
2003-12-09
2007-02-01";UNIVERSITY OF GEORGIA RESEARCH FOUNDATION
bovin;1702768;19/02/2003;MERIAL
mult_sp;1703515;"2002-01-10
2003-01-09
2008-07-31
2011-11-10";US ARMY
mult_sp;1703515;"2002-01-10
2003-01-09
2008-07-31
2011-11-10";US GOVERNMENT
avian;1705509;"2002-03-01
2002-11-21
2003-02-25";AKZO NOBEL
bovin;1707276;"2002-08-01
2003-07-30
2005-01-31";NATIONAL RESEARCH COUNCIL OF CANADA
mult_sp;1717651;"2002-02-21
2003-02-21";ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI
bovin;1720847;"2002-08-13
2003-08-12";INTERVET INTERNATIONAL
suin;1726699;04/12/2002;INSTITUTE OF BIOORG CHEMISTRY
suin;1726699;04/12/2002;INSTITUTE OF BIOTECHNOLOGY ANTIBIOT
suin;1726699;04/12/2002;UNIVERSITY OF GDANSK
