host;Questel unique family ID (FAN);Priority dates;Latest standardized assignees - inventors removed
avian;67540884;2013-04-03;KONKUK UNIVERSITY HOLDINGS
avian;34298532;2009-08-11;NATIONAL UNIVERSITY CHONBUK INDUSTRY COOP FOUND
avian;34298532;2009-08-11;CHOONG ANG VACCINE LAB
avian;35260698;2010-05-17;CHONNAM NATIONAL UNIVERSITY
avian;6468110;"2006-12-11
2007-12-10";MERIAL
avian;44528009;1998-09-01;UNIVERSITY OF HONG KONG
avian;1236363;"2000-06-09
2001-06-05
2001-06-08
2002-05-29";AKZO NOBEL
avian;77151564;2016-02-29;BEESONBIOGICS
avian;43995253;"2001-03-09
2002-01-30
2004-03-26";UNIVERSITY OF MINNESOTA
avian;44636233;"2010-08-02
2011-08-02";UNIVERSITY OF GEORGIA
avian;1754209;"2002-12-04
2003-01-17";PROBIOTECH
avian;69503580;2015-03-12;YEBIO BIOENGINEERING
avian;46633403;"2009-08-11
2009-11-02";NATIONAL UNIVERSITY CHONBUK INDUSTRY COOP FOUND
avian;7816604;"2009-12-01
2010-11-30";INTERVET INTERNATIONAL
avian;35305637;2010-09-01;CHOONG ANG VACCINE LAB
avian;35305637;2010-09-01;CHUNGBUK NATIONAL UNIVERSITY INDUSTRY ACADEMIC COOPERATION FOUNDATION
avian;4996653;"2005-09-02
2006-01-13";HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;67545216;2014-07-09;JIANGSU ACADEMY OF AGRICULTURAL SCIENCES
avian;6893859;2009-07-29;HARBIN PHARMACEUTICAL BIO VACCINE
avian;71320436;2015-07-07;YEBIO BIOENGINEERING
avian;72842075;2016-02-23;YEBIO BIOENGINEERING
avian;45426148;2013-02-27;HARBIN PHARMACEUTICAL BIO VACCINE
avian;34085336;2007-01-26;KYUNGPOOK NATIONAL UNIVERSITY  INDUSTRY ACADEMIC COOPERATION FOUNDATION
avian;59515792;2013-10-08;JIANGSU ACADEMY OF AGRICULTURAL SCIENCES
avian;44848421;2012-12-03;QINGDAO VLAND BIOTECH
avian;44848421;2012-12-03;QINGDAO BOITE BIOPHARMACEUTICAL
avian;66774311;2012-12-03;KYUNGPOOK NATIONAL UNIVERSITY  INDUSTRY ACADEMIC COOPERATION FOUNDATION
avian;66774311;2012-12-03;KOREA VETCHEM
avian;66774311;2012-12-03;KANGWON NATIONAL UNIVERSITY INDUSTRY ACADEMIC COOPERATION TEAM
avian;44234314;"2008-03-21
2009-03-20";US DEPARTMENT OF AGRICULTURE
avian;1440295;2000-06-19;RAHAN MERISTEM
avian;67241689;2012-12-28;REPUBLIC OF KOREA
avian;674279;"1999-03-05
2000-02-25
2000-02-28
2002-07-10";INTERVET INTERNATIONAL
avian;64921213;2012-09-05;UNIVERSITAT LEIPZIG
avian;64921213;2012-09-05;LOHMANN ANIMAL HEALTH
avian;62136629;2006-07-03;HENAN AGRICULTURAL UNIVERSITY
avian;18902273;2000-08-09;CEVA PHYLAXIA OLTOANYAGTERMELO
avian;4112210;"2004-03-31
2004-09-07";KAKETSUKEN
avian;919775;"2004-01-21
2005-01-21";CSIC - CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
avian;919775;"2004-01-21
2005-01-21";CHIMERA PHARMA U
avian;66435793;2012-12-31;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;6385933;"2006-03-15
2007-03-15";INTERVET INTERNATIONAL
avian;68650309;2013-07-29;KONKUK UNIVERSITY INDUSTRIAL COOPERATION
avian;44900134;2012-12-31;YEBIO BIOENGINEERING
avian;61933554;2006-07-03;HENAN AGRICULTURAL UNIVERSITY
avian;70927121;2015-05-22;YANGLING GREEN BIO ENGINEERING
avian;980712;"2005-07-15
2006-07-14";CSIC - CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
avian;980712;"2005-07-15
2006-07-14";BIONOSTRA
avian;44463654;"2011-05-17
2011-10-17
2012-05-17
2012-09-14
2013-04-04";CJ CHEIL JEDANG
avian;61816128;2013-09-23;TIANJIN RINGPU BIOLOGY TECHNOLOGY
avian;68621446;2014-11-05;SUN YAT SEN UNIVERSITY
avian;68850764;2013-08-28;BIOPOA
avian;7163771;2010-06-29;NORTH WEST AGRICULTURE & FORESTRY UNIVERSITY
avian;70939959;2015-07-07;YEBIO BIOENGINEERING
avian;68850770;2013-08-28;BIOPOA
avian;71239754;"2014-05-02
2015-04-22";ARIZONA STATE UNIVERSITY
avian;76328300;2017-03-08;GUANGZHOU BOHENG BIOTECHNOLOGY
avian;22584;"2000-02-29
2001-02-02
2001-02-15";WYETH
avian;59610038;2013-11-19;ZHEJIANG MIBOLERONE BIOLOGICAL TECHNOLOGY
avian;68728057;2014-11-28;SUN YAT SEN UNIVERSITY
avian;8150717;2012-12-03;QINGDAO VLAND BIOTECH
avian;8150717;2012-12-03;QINGDAO BOITE BIOPHARMACEUTICAL
avian;68384596;2014-04-28;LUOYANG HUIZHONG BIOTECH
avian;68384596;2014-04-28;PU LIKE BIO ENGINEERING
avian;77943248;2017-08-09;YEBIO BIOENGINEERING
avian;76454405;2017-03-08;GUANGZHOU BOHENG BIOTECHNOLOGY
avian;73323949;2016-02-23;YEBIO BIOENGINEERING
avian;4796671;1999-12-23;CHINA ANIMAL MEDICINE SUPERVISORY OFFICE
avian;62030705;2006-07-18;LUOYANG PU LIKE BIO ENGINEERING
avian;6788363;2009-02-24;QYH BIOTECH
avian;78248672;2016-06-20;GUONIAN INDUSTRY
avian;6769893;2007-12-11;HENAN AGRICULTURAL UNIVERSITY
avian;4962353;2003-06-18;CANGZHOU XINGJI ANIMAL PHARMACEUTICAL
avian;4962353;2003-06-18;INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SCIENCES
avian;45703922;2013-05-10;HEILONGJIANG UNIVERSITY
avian;5339145;"2005-12-02
2006-05-22
2006-12-01
2016-03-03";ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI
avian;4962356;2003-06-18;INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SCIENCES
avian;59339759;2013-08-09;ZHEJIANG MIBOLERONE BIOLOGICAL TECHNOLOGY
avian;66018373;"2012-11-16
2013-03-15
2015-10-19";AUBURN UNIVERSITY
avian;66018373;"2012-11-16
2013-03-15
2015-10-19";US DEPARTMENT OF AGRICULTURE
avian;7033923;2009-11-11;ZHENGZHOU HOUYI PHARMACEUTICAL
avian;35277504;2010-02-22;VAX
avian;73637129;2016-04-15;YEBIO BIOENGINEERING
avian;803654;"2000-07-07
2001-03-22
2001-07-02";INTERVET INTERNATIONAL
avian;70860189;2015-05-22;YANGLING GREEN BIO ENGINEERING
avian;4097453;"2003-11-13
2004-11-08";UNIVERSITY OF GEORGIA
avian;5106773;2003-09-04;YANGTZE UNIVERSITY
avian;36230776;2005-01-21;pf 
avian;44848424;2012-12-31;YEBIO BIOENGINEERING
avian;36244233;2004-11-01;FEDERAL INSTITUTE
avian;69229920;2014-12-22;TIANJIN RINGPU BIOLOGY TECHNOLOGY
avian;36244234;2004-11-01;FEDERAL INSTITUTE
avian;61270788;"2012-07-05
2013-07-05
2017-05-12
2017-07-13";OHIO STATE INNOVATION FOUNDATION
avian;66824747;2013-12-09;ANHUI AGRICULTURAL UNIVERSITY
avian;44529527;1999-07-30;LABORATORIO AVI MEX
avian;79833291;2017-12-27;BEIJING CEVA HUADU BIOLOGICAL
avian;59528892;2013-10-08;JIANGSU ACADEMY OF AGRICULTURAL SCIENCES
avian;22891748;2006-03-23;BIOPOA
avian;22891748;2006-03-23;KBNP
avian;73629320;2016-02-23;YEBIO BIOENGINEERING
avian;77560468;2016-03-31;PU LIKE BIO ENGINEERING
avian;5086671;2002-06-12;BEIJING HUAXING CHENGGUANG BIOTECHNOLOGY
avian;4833187;1998-09-04;SHANGHAI INSTITUTE OF BIOCHEMISTRY CHINESE ACADEMY OF SCIENCES
avian;72142318;2015-10-19;BEIJING JIANXIANG HEMU BIOLOGICAL TECHNOLOGY
avian;72142318;2015-10-19;SHANXI LONGKER BIOLOGICAL PHARMACEUTICAL
avian;43561017;"2003-05-19
2004-05-17
2007-10-02";INTERVET INTERNATIONAL
avian;35427780;"2010-11-18
2011-11-18";INVESTIGACION APLICADA
avian;5326384;2006-03-27;LANZHOU VETERINARY RESEARCH INSTITUTE CAAS
avian;36060335;1998-04-14;pf 
avian;1614247;"2000-10-02
2001-09-28
2003-08-01";BIOPORT R & D
avian;1614247;"2000-10-02
2001-09-28
2003-08-01";EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG
avian;73582517;2016-02-23;INSTITUTE OF ANIMAL SCIENCE & VETERINARY HUBEI ACADEMY OF AGRICULTURAL SCIENCES
avian;73794620;2016-03-21;YEBIO BIOENGINEERING
avian;13478086;"2000-03-29
2001-03-01";G B PANT UNIVERSITY OF AGRICULTURE & TECHNOLOGY
avian;7550649;2011-05-24;NANJING CHUANGQI BIOLOGICAL TECHNOLOGY
avian;4911236;1998-09-11;pf 
avian;46021007;2011-09-14;FEDERAL NOE G BJUDZHETNOE UCHREZHDENIE FEDERAL NYJ TS OKHRANY ZDOROV JA ZHIVOTNYKH FGBU VNIIZZH
avian;73107912;2015-12-29;ZHEJIANG MIBOLERONE BIOLOGICAL TECHNOLOGY
avian;36274835;2004-09-29;FEDERAL NOE GOSUDARSTVENNOE UCHREZHDENIE FEDERAL NYJ TSENTR OKHRANY ZDOROV JA ZHIVOTNYKH
avian;36103106;1999-01-25;VRNII V
avian;36103106;1999-01-25;ETERINARNOJ VIRUSOLOGII I MIKR
avian;970665;"2003-03-24
2004-03-24";INTERVET INTERNATIONAL
avian;69559096;2015-02-06;JILIN ZHENGYE BIOLOGICAL PRODUCTS
avian;7601542;2011-10-25;HARBIN PHARMACEUTICAL BIO VACCINE
avian;76263275;2015-11-19;DINGZHENG BIOLOGICAL PHARMACEUTICAL
avian;822672;"2000-11-02
2001-10-30";INTERVET INTERNATIONAL
avian;45603028;2011-12-02;VAXXINOVA
avian;62093953;2004-10-11;pf 
avian;61336170;2013-09-23;TIANJIN RINGPU BIOLOGY TECHNOLOGY
avian;7786969;2010-12-28;SINOVET BIOTECHNOLOGY
avian;7786969;2010-12-28;HUA WEI TE BIOPHARMACEUTICAL
avian;6766392;2008-12-11;TIANJIN RINGPU BIOLOGY TECHNOLOGY
avian;6766392;2008-12-11;TIANJIN RINGPU BIOLOGY TECHNOLOGY
avian;83262688;"2002-03-01
2002-11-21
2003-02-25
2003-03-24";INTERVET INTERNATIONAL
avian;36188231;2002-02-28;ZHIVOTNYKH
avian;36188231;2002-02-28;FEDERAL INSTITUTE
avian;36131645;2000-03-06;???????? ??????????? ???????? ?????? ????????
avian;36223677;2004-01-22;FEDERAL NOE GOSUDARSTVENNOE UCHREZHDENIE FEDERAL NYJ TSENTR OKHRANY ZDOROV JA ZHIVOTNYKH
avian;36190468;2000-05-24;VNII VETERINARNOJ VIRUSOLOGII
avian;36103117;1998-12-22;VRNII V
avian;36103117;1998-12-22;ETERINARNOJ VIRUSOLOGII I MIKR
avian;77996862;2016-05-26;KONKUK UNIVERSITY INDUSTRIAL COOPERATION
avian;8150527;2012-11-28;YANG JIANCHUN HENAN YAWEI ANIMAL MEDICINE
avian;43621081;"2005-06-23
2006-06-23";UNIVERSITY OF MARYLAND
avian;36060324;1998-02-23;ASHCHITY ZHIVOTNYKH
avian;36060324;1998-02-23;VSEROSSIJSKIJ NI SKIJ I Z
avian;36060324;1998-02-23;IKATSII VETERINARNYKH PREPARAT
avian;36060324;1998-02-23;VSEROSSIJSKIJ GNI
avian;36060324;1998-02-23;SKIJ INSTITUTE KONTROLJA STANDARTIZ
avian;4951270;1999-01-07;pf 
avian;36218951;2004-03-29;GORSKY STATE AGRARIAN UNIVERSITY
avian;36084459;1998-10-08;ETERINARNOJ VIRUSOLOGII I MIKR
avian;36084459;1998-10-08;VRNII V
avian;44554443;2003-11-17;UNIVERSITY OF MINNESOTA
avian;5026178;2005-03-29;HENAN INSTITUTE OF SCIENCE & TECHNOLOGY
avian;36127384;1999-03-31;SKIJ INSTITUTE KONTROLJA STANDARTIZ
avian;36127384;1999-03-31;VSEROSSIJSKIJ GNI
avian;83371653;"2017-08-09
2018-08-09";AUBURN UNIVERSITY
avian;36297658;2008-09-26;GNU VNII VETERINARNOJ VIRUSOLO
avian;38585396;2006-05-03;INSTEX & CLINICAL VETERINARY
avian;77161902;2017-04-26;GUANGZHOU BOHENG BIOTECHNOLOGY
avian;36107590;1998-07-10;VSEROSSIJSKIJ NI SKIJ VETERINA
avian;36107590;1998-07-10;YJ INSTITUTE PTITSEVODSTVA
avian;36107590;1998-07-10;ROSSIJSKIJ NI SKIJ I GEMA
avian;36107590;1998-07-10;TOLOGII I TRANSFUZIOLOGII
avian;36148525;2001-07-18;pf 
avian;61926840;2006-07-28;LUOYANG PU LIKE BIO ENGINEERING
avian;59335702;2013-07-25;SHANGHAI VETERINARY RESEARCH INSTITUTE CHINESE ACADEMY OF AGRICULTURAL SCIENCES
avian;36170147;2000-11-28;VNII VETERINARNOJ VIRUSOLOGII
avian;5071368;2003-06-19;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;38236902;2002-08-30;NATIONAL CHUNG HSING UNIVERSITY
avian;62041285;2001-12-21;pf 
